Date,Calib.Date,Time,Sample.ID,Treatment,Temperature,pH.MV,Salinity,Notes
20190121,20190121,10:00,1B,Elevated,12.036,1.8,28.31,pre-spawn
20190121,20190121,10:00,2B,Elevated,11.809,4.9,28.43,pre-spawn
20190121,20190121,10:00,3B,Ambient,12.027,-36.6,28.46,pre-spawn
20190121,20190121,10:00,4B,Ambient,11.859,-35.4,28.44,pre-spawn
20190121,20190121,10:00,5B,Oscillating,11.735,-30.2,28.45,pre-spawn
20190121,20190121,10:00,6B,Ambient,11.89,-37.3,28.46,pre-spawn
20190121,20190121,10:00,T0,Elevated,14.068,10.1,28.48,pre-spawn
20190121,20190121,10:00,T1,Elevated,14.023,16.6,28.46,pre-spawn
20190121,20190121,10:00,T2,Ambient,14.321,-43.8,28.47,pre-spawn
20190121,20190121,10:00,T3,Ambient,14.227,-45.5,28.46,pre-spawn
20190121,20190121,10:00,T4,Ambient,14.141,-44.9,28.45,pre-spawn
20190121,20190121,10:00,T5,Ambient,14.162,-45.8,28.48,pre-spawn
20190121,20190121,10:00,T6,Ambient,13.682,-48,28.38,pre-spawn
20190121,20190121,10:00,T7,Ambient,13.939,-47,28.44,pre-spawn
20190124,20190124,13:00,1B,Elevated,12.336,0.4,28.52,
20190124,20190124,13:00,2B,Elevated,12.155,4.2,28.55,
20190124,20190124,13:00,3B,Ambient,12.852,-36.6,28.61,
20190124,20190124,13:00,4B,Ambient,12.344,-39,28.54,
20190124,20190124,13:00,5B,Oscillating,12.456,-28.9,28.52,
20190124,20190124,13:00,6B,Ambient,12.235,-39.4,28.58,
20190124,20190124,13:00,T0,Elevated,14.132,12.7,28.51,
20190124,20190124,13:00,T1,Elevated,14.274,3.9,28.55,
20190124,20190124,13:00,T2,Ambient,14.094,-42,28.57,
20190124,20190124,13:00,T3,Ambient,13.876,-43.5,28.65,
20190124,20190124,13:00,heathstack,na,9.989,-41.5,28.25,top tray intake
20190124,20190124,15:50,T0,Elevated,14.199,10.8,28.45,
20190124,20190124,15:50,T1,Elevated,14.282,7.1,28.5,
20190124,20190124,15:50,T2,Ambient,14.273,-41.4,28.49,
20190124,20190124,15:50,T3,Ambient,14.194,-42.9,28.48,
20190124,20190124,21:00,T0,Elevated,14.131,12.4,28.68,
20190124,20190124,21:00,T1,Elevated,14.211,9,28.59,
20190124,20190124,21:00,T2,Ambient,14.149,-41.3,28.6,
20190124,20190124,21:00,T3,Ambient,14.166,-42.3,28.55,
20190125,20190125,11:25,T0,Elevated,14.131,9,28.84,
20190125,20190125,11:25,T1,Elevated,14.351,8.6,28.73,
20190125,20190125,11:25,T2,Ambient,14.361,-41.1,28.7,
20190125,20190125,11:25,T3,Ambient,14.172,-42.5,28.65,
20190125,20190125,11:25,heathstack,na,9.112,-38.6,28.54,
20190125,20190125,15:25,T0,Elevated,14.15,5,28.83,
20190125,20190125,15:25,T1,Elevated,14.3,4,28.76,
20190125,20190125,15:25,T2,Ambient,14.266,-40.8,28.78,
20190125,20190125,15:25,T3,Ambient,14.276,-42,28.74,
20190126,20190126,9:00,1B,Elevated,11.653,7.7,28.89,
20190126,20190126,9:00,2B,Elevated,11.699,5.6,28.88,
20190126,20190126,9:00,3B,Ambient,11.884,-34.9,28.89,
20190126,20190126,9:00,4B,Ambient,11.684,-35.1,28.87,
20190126,20190126,9:00,5B,Oscillating,11.668,-27.7,28.87,
20190126,20190126,9:00,6B,Ambient,11.758,-35.7,28.76,
20190126,20190126,9:00,T0,Elevated,13.966,4.7,29,TA samples in mercuric chloride
20190126,20190126,9:00,T1,Elevated,14.305,4.7,28.93,TA samples in mercuric chloride
20190126,20190126,9:00,T2,Ambient,14.444,-40.6,28.92,TA samples in mercuric chloride
20190126,20190126,9:00,T3,Ambient,14.163,-42,28.91,TA samples in mercuric chloride
20190127,20190127,13:30,1B,Elevated,11.941,5.4,28.95,
20190127,20190127,13:30,2B,Elevated,12.016,9.7,28.94,
20190127,20190127,13:30,3B,Ambient,12.117,-35.8,28.95,
20190127,20190127,13:30,4B,Ambient,12.005,-35.6,28.95,
20190127,20190127,13:30,5B,Oscillating,11.963,-26.6,28.93,
20190127,20190127,13:30,6B,Ambient,12.001,-36.9,28.94,
20190127,20190127,13:30,T0,Ambient,13.701,-42.4,29.04,TA samples in mercuric chloride
20190127,20190127,13:30,T1,Elevated,13.966,5.8,28.96,TA samples in mercuric chloride
20190127,20190127,13:30,T2,Ambient,14.03,-43,28.96,TA samples in mercuric chloride
20190127,20190127,13:30,T3,Elevated,13.764,14,28.93,TA samples in mercuric chloride
20190128,20190128,10:50,1B,Elevated,11.808,1,28.79,
20190128,20190128,10:50,2B,Elevated,11.98,4.5,28.98,
20190128,20190128,10:50,3B,Ambient,11.974,-34.7,29,
20190128,20190128,10:50,4B,Ambient,11.934,-34.8,28.99,
20190128,20190128,10:50,5B,Oscillating,11.827,-25.5,28.96,
20190128,20190128,10:50,6B,Ambient,11.891,-35.3,29,
20190128,20190128,10:50,T0,Ambient,13.818,-42.1,29.1,TA samples same day
20190128,20190128,10:50,T1,Elevated,14.015,3.3,29.03,TA samples same day
20190128,20190128,10:50,T2,Ambient,14.031,-42.4,29.01,TA samples same day
20190128,20190128,10:50,T3,Elevated,13.707,2.9,28.98,TA samples same day
20190128,20190128,10:50,heathstack,na,8.864,-36.7,28.7,
